2026-06-02 21:46:32,156 | WARNING | services.startup_guards | - | startup_guard: MONGO_URL embeds username and password directly in the connection string. Move credentials to a secret manager or use environment variable interpolation.
2026-06-02 21:46:32,157 | WARNING | services.startup_guards | - | startup_guard: JWT_ALLOW_WEAK_SECRET=1 is set. JWT_SECRET_KEY will be auto-generated per-process; all tokens will be invalidated on restart and the server is not safe for production.
2026-06-02 21:46:32,157 | WARNING | services.startup_guards | - | startup_guard: FRONTEND_ORIGINS is not set; defaulting to http://localhost:3000
2026-06-02 21:46:32,157 | INFO | server | - | SKIP_BROWSER_WARMUP=1 set; skipping Playwright warmup at startup
2026-06-02 21:47:52,931 | INFO | backend.agent.services.website_health_service | None | Starting website health analysis for execution 032cf14b-b95f-475a-9dc8-3d66e09e7501
2026-06-02 21:47:53,048 | ERROR | backend.agent.services.visual_issue_service | None | Failed to analyze image artifacts/032cf14b-b95f-475a-9dc8-3d66e09e7501/initial.png: cannot access local variable 'size' where it is not associated with a value
Traceback (most recent call last):
  File "C:\Internship\ai-testing-platform\backend\agent\services\visual_issue_service.py", line 40, in analyze_visuals
    if size < 16000:
       ^^^^
UnboundLocalError: cannot access local variable 'size' where it is not associated with a value
2026-06-02 21:47:53,068 | INFO | backend.agent.services.website_health_service | None | Website health analysis complete: score=80
2026-06-02 21:47:53,185 | INFO | phase1 | None | ENFORCE_TERMINAL_WRITE test_id=032cf14b-b95f-475a-9dc8-3d66e09e7501 status=failed failure_reason=legacy_execution_exception matched=1 modified=1 upserted_id=None
2026-06-02 21:54:07,153 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Original Action: input -> Normalized Action: input' type=action_translation stream_logs_count=1
2026-06-02 21:54:07,364 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Original Action: input -> Normalized Action: input' type=action_translation stream_logs_count=2
2026-06-02 21:54:07,538 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Original Action: click -> Normalized Action: click' type=action_translation stream_logs_count=3
2026-06-02 21:54:07,730 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Original Action: verify -> Normalized Action: verify' type=action_translation stream_logs_count=4
2026-06-02 21:54:07,886 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Executing scenario: User Management - Session Handling' type=run_status stream_logs_count=5
2026-06-02 21:54:08,040 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Starting scenario timer: User Management - Session Handling' type=run_status stream_logs_count=6
2026-06-02 21:54:08,194 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Using shared BrowserSessionManager' type=run_status stream_logs_count=7
2026-06-02 21:54:08,586 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Opening https://www.saucedemo.com/' type=run_status stream_logs_count=8
2026-06-02 21:54:08,740 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=9
2026-06-02 21:54:09,562 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=10
2026-06-02 21:54:09,992 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Opened https://www.saucedemo.com/' type=run_status stream_logs_count=11
2026-06-02 21:54:10,165 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=12
2026-06-02 21:54:10,544 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=13
2026-06-02 21:54:10,739 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=selector_diagnostics stream_logs_count=14
2026-06-02 21:54:10,915 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=15
2026-06-02 21:54:11,142 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=16
2026-06-02 21:54:11,333 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Executing input on username input' type=action_execution stream_logs_count=17
2026-06-02 21:54:11,536 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Found username input' type=action_execution stream_logs_count=18
2026-06-02 21:54:11,735 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Typing value into username input' type=action_execution stream_logs_count=19
2026-06-02 21:54:12,060 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=20
2026-06-02 21:54:12,889 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=21
2026-06-02 21:54:13,072 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=22
2026-06-02 21:54:13,301 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=23
2026-06-02 21:54:13,455 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=24
2026-06-02 21:54:13,646 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=25
2026-06-02 21:54:13,844 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=26
